title,channel,published_at,url,sentiment_score,sentiment_label
Basic of Digital marketing #digitalmarketing #seo #shorts,Mindology ,2025-12-04T11:59:28Z,https://www.youtube.com/watch?v=7Gab8UWXYo4,0.0,Neutral
Types Of Website You Must Know | Digtial Sandip Academy | Digital Marketing Institute,Digital Sandip Academy,2025-12-04T11:58:47Z,https://www.youtube.com/watch?v=TNUc5mdYGqM,0.0,Neutral
Socialwits | Digital marketing Agency,SocialWits,2025-12-04T11:47:22Z,https://www.youtube.com/watch?v=__m6EO9Sh2s,0.0,Neutral
Digital Marketing School Noida @DMPSchool #digitalmarketing #marketingschool #dmpschool #online,DMP School Noida,2025-12-04T11:34:41Z,https://www.youtube.com/watch?v=h1xmAYI_6MQ,0.0,Neutral
कोई Average आदमी है #digitalmarketing #शॉर्ट #Motivation #workoppotunity #digitalwork,@sunilsaini023,2025-12-04T11:30:12Z,https://www.youtube.com/watch?v=5z5GfiWlZV0,0.34,Positive
How to Use Digital Marketing for Your Business Growth? | Telugu,Chaitanya Nandigam | Marketer & Entrepreneur,2025-12-04T11:28:27Z,https://www.youtube.com/watch?v=4KIoQbp8Yog,0.3818,Positive
power of digital marketing,Jass Kaur,2025-12-04T11:25:07Z,https://www.youtube.com/watch?v=MYPbJIFqSPs,0.0,Neutral
Struggling to get instant leads in digital marketing?,Scope Technologies ,2025-12-04T11:22:39Z,https://www.youtube.com/watch?v=Gd8G7yAqdKI,-0.4215,Negative
Digital marketing and how to make money without money,Kam Smart Money Hub,2025-12-04T11:21:15Z,https://www.youtube.com/watch?v=VzPxK4gPEsU,0.0,Neutral
DO IT DIFFERENTLY | DIGITAL MARKETING AGENCY IN KERALA,Techpullers Team,2025-12-04T11:14:56Z,https://www.youtube.com/watch?v=Xl4hOQ4Yfhw,0.0,Neutral
SK digital Marketing,SK Digital Markrting,2025-12-04T10:58:55Z,https://www.youtube.com/watch?v=3TBI6xOc4Yc,0.0,Neutral
DIGITAL MARKETING WITH AI ph- 9747569878,CINEHIVE Academy,2025-12-04T10:50:16Z,https://www.youtube.com/watch?v=s81iqkn09TQ,0.0,Neutral
Video 18: Intro to Digital Marketing Analytics,InnoVistaOfficial,2025-12-04T10:48:39Z,https://www.youtube.com/watch?v=e_F74b_hx0E,0.0,Neutral
Best video production agency in Nepal - Sharda Production,Sharda Production Pvt Ltd,2025-12-04T10:45:06Z,https://www.youtube.com/watch?v=Kdo0T27cKrQ,0.6369,Positive
power of digital marketing,suman lally vlogs,2025-12-04T10:06:10Z,https://www.youtube.com/watch?v=bhYWgMPl6Tg,0.0,Neutral
"Vivid Visions.06 Digital Marketing, Facebook Ads Social Media Growth &amp; Creative Branding by Nashirul",Vivid Visions.06 Freelancer Nashirul,2025-12-04T09:43:11Z,https://www.youtube.com/watch?v=w4Y4ZfL1nOY,0.6705,Positive
#digitalmarketing #viral #market #publice #cr7 #neymar #messi #viralvideo,Shashi Das,2025-12-04T09:23:57Z,https://www.youtube.com/watch?v=LXk5fe8qqGE,0.0,Neutral
🚀 Grow Your Business Online With Chitransh Digital Marketing Agency! #rewa #branding  #seo,Chitransh Digital marketing Agency,2025-12-04T09:18:55Z,https://www.youtube.com/watch?v=Fam_d-vE6Tg,0.0,Neutral
Digital Marketing is the door!,Ann Digital Hub,2025-12-04T09:17:16Z,https://www.youtube.com/watch?v=3x1PuwiF9Mc,0.0,Neutral
Video 1: What is Digital Marketing,InnoVistaOfficial,2025-12-04T09:08:57Z,https://www.youtube.com/watch?v=fcrpOqO585c,0.0,Neutral
YouTube Se Paise Kaise Kamate Hai? 💰 Real Earning Trick | #shorts  #youtubetips,Tech Sudipta Malakar,2025-12-04T09:00:08Z,https://www.youtube.com/watch?v=3JEIiWkZ-v8,-0.0516,Negative
Digital Marketing Agency Driving Brand Growth &amp; Engagement  #digitalmarketing  #webdesign,Eye4Future,2025-12-04T08:54:44Z,https://www.youtube.com/watch?v=yhOoK8G3r6Q,0.6808,Positive
Want to Learn Digital Marketing? Start Here! 🚀 | VSM Scholars,VSM SCHOLARS,2025-12-04T08:55:09Z,https://www.youtube.com/watch?v=oScrY4N2DJs,0.1511,Positive
Sam&#39;s Store | Poster Making In Digital Marketing #shorts #digital #digitalmarketing,Sam's Store,2025-12-04T08:41:00Z,https://www.youtube.com/watch?v=4HZXPVXrZwk,0.0,Neutral
NextGenbySam | Poster Making In Digital Marketing #shorts  #digital #digitalmarketing,NextGenbySam,2025-12-04T08:04:18Z,https://www.youtube.com/watch?v=XN46o7kdzLc,0.0,Neutral
Digital Marketing Course Review by Pari | Ventureheap Academy #digitalmarketingcourse,Ventureheap Academy ,2025-12-04T08:00:06Z,https://www.youtube.com/watch?v=4qkdd1vZuDc,0.0,Neutral
How to Grow Your Online Presence | Digital Marketing Tips #jsrpvtltd #digitalmarketing #business,Jsr,2025-12-04T07:38:47Z,https://www.youtube.com/watch?v=tAn0KzXGf60,0.0,Neutral
Grow your business through Digital Marketing.,Gen-Z Digital marketing solution,2025-12-04T07:34:25Z,https://www.youtube.com/watch?v=-rADKs8T6HE,0.0,Neutral
Smart Digital Marketing for Double Results | Amazing Adds | Grow Your Business Faster,AMAZING ADDS ,2025-12-04T07:23:49Z,https://www.youtube.com/watch?v=b1oJrhMG_is,0.7579,Positive
𝐓𝐫𝐚𝐧𝐬𝐟𝐨𝐫𝐦 𝐲𝐨𝐮𝐫 𝐟𝐮𝐭𝐮𝐫𝐞 𝐰𝐢𝐭𝐡 𝐃𝐢𝐠𝐢𝐭𝐚𝐥 𝐌𝐚𝐫𝐤𝐞𝐭𝐢𝐧𝐠 𝐚𝐭 𝐃𝐢𝐠𝐢𝐥𝐢𝐧𝐤𝐞𝐫𝐬 𝐀𝐜𝐚𝐝𝐞𝐦𝐲 — 𝐋𝐞𝐚𝐫𝐧 𝐭𝐡𝐞 𝐬𝐤𝐢𝐥𝐥𝐬 𝐭𝐡𝐚𝐭 𝐦𝐚𝐭𝐭𝐞𝐫!,Digilinkers Academy,2025-12-04T07:21:49Z,https://www.youtube.com/watch?v=El99wpPqpiA,0.0,Neutral
Want to learn digital marketing but don’t know where to start?,HitechHub,2025-12-04T07:00:44Z,https://www.youtube.com/watch?v=i4CisVzxiiU,0.0387,Neutral
So many people still think digital marketing is a scam #digitalmarketing #makemoneyonline #income,khanya - digital marketing ,2025-12-04T06:46:49Z,https://www.youtube.com/watch?v=9WUVwjb-Hws,-0.5719,Negative
Kalian pusing mulai dimana #digitalmarketing #marketing #cuandigital,Kang gam,2025-12-04T06:38:49Z,https://www.youtube.com/watch?v=XY14XQm9zoo,0.0,Neutral
AI Powered Digital Marketing Class in Greater Noida | Fun Learning with Ashutosh Rana,DigiSchema,2025-12-04T06:33:37Z,https://www.youtube.com/watch?v=5bWzuXAYrHk,0.7003,Positive
Want to build a high-demand career in Digital Marketing?,Kbizsoft Solutions Pvt. Ltd.,2025-12-04T05:58:28Z,https://www.youtube.com/watch?v=V8kPxDA1WDA,0.0772,Positive
Free Full Advanced Digital Marketing Course in Telugu 2026 #digitalmarketingintelugu #seotelugu,Digital BVR Alpha Community,2025-12-04T05:23:55Z,https://www.youtube.com/watch?v=Am06sZDX5Zk,0.6486,Positive
Digital marketing             #funny #comedyfilms #viralvideo #comedymovies #duet #highlights,Ashadul funn mixed video,2025-12-04T05:17:36Z,https://www.youtube.com/watch?v=1pkiInIbroU,0.4404,Positive
"&quot;Boost Your Business with Expert Digital Marketing Services | SEO, Social Media, PPC &amp; More!&quot;",adrotechsolutions ,2025-12-04T04:50:15Z,https://www.youtube.com/watch?v=Vz1KHOE-LJE,0.0,Neutral
#digitalmarketing #affiliate Marketing #youtubeshorts अधिक माहितीबद्दल comment yes करा,Pallavi Jachak,2025-12-04T04:14:36Z,https://www.youtube.com/watch?v=aA1AKt36jGw,0.4019,Positive
Highlight your brand experience through reels for digital marketing #socialmediamarketing,PIPO Brands,2025-12-04T04:06:49Z,https://www.youtube.com/watch?v=12mIKCKoGCA,0.34,Positive
Spot a Trustworthy Digital Marketing Agency,Vibe Digital Marketing,2025-12-04T02:42:30Z,https://www.youtube.com/watch?v=KIFC9Dtt6fM,0.5574,Positive
Digital marketing B.A. third semester 😲💯💯👍👍 #bastudy,BATCHELOR OF ARTS 😍,2025-12-04T00:50:01Z,https://www.youtube.com/watch?v=1k_RwsJMdwI,0.3818,Positive
"My Why, My Reason Why I Started Digital Marketing  #marketingstrategy #digitalmom #homebusiness",DigitalMomEve,2025-12-04T00:23:37Z,https://www.youtube.com/watch?v=-Rmpbu0lVWo,0.0,Neutral
The FORBIDDEN Rule of Digital Marketing They DON&#39;T Want You To Know,MoneyMasters HQ,2025-12-04T00:23:17Z,https://www.youtube.com/watch?v=SWLU6DCjO_k,-0.4995,Negative
Como usar marketing digital para produtos físicos,Erico Rocha,2025-12-03T22:00:44Z,https://www.youtube.com/watch?v=WQIrn3gDEJc,0.0,Neutral
Digital Marketing Course in Telugu - Call 7386603165,ODMT Telugu ( Digital Marketing Course in Telugu ),2025-12-03T20:10:03Z,https://www.youtube.com/watch?v=vIQtGbiI2AQ,0.0,Neutral
Δεν Υπάρχουν Κανόνες στο Digital Marketing,GRØWL Digital,2025-12-03T18:36:44Z,https://www.youtube.com/watch?v=yHNtPFytJ0U,0.0,Neutral
💥Digital Marketing GTU IMP 2025🔥| Diploma IT Sem-3 💯| GTU IMP Most IMP Questions List +📘✨#gtuimp2025,Gujarat Engineering Academy,2025-12-03T18:01:32Z,https://www.youtube.com/watch?v=S4vxvFyqsgQ,-0.34,Negative
Voilà Maison — Boutique Digital Marketing for the Hospitality Sector,Voilà Maison,2025-12-03T17:50:59Z,https://www.youtube.com/watch?v=ykQ-alD5GuU,0.0,Neutral
Boutique Digital Marketing for the Restaurant Sector,Voilà Maison,2025-12-03T17:45:28Z,https://www.youtube.com/watch?v=UZdJvy13jpE,0.0,Neutral
How To Advertise Digital Marketing Master Resell Rights Digital Products Business Resell Rights,Simeon Tuitt,2025-12-03T17:13:08Z,https://www.youtube.com/watch?v=HpFUYnsFRg4,0.0,Neutral
Digital Marketing 101 (A Beginner&#39;s Guide To Marketing),Alex Cattoni,2025-12-03T17:01:43Z,https://www.youtube.com/watch?v=t-pCoBQP9BI,0.0,Neutral
3 Topics. 1 Creator. Let’s Go! #youtubeshorts #digitalmarketing #WordPress,Mirza Abbas Ali Baig,2025-12-03T16:55:14Z,https://www.youtube.com/watch?v=TBJtljvlSao,0.0,Neutral
Marketing Day ✨ #motivation #digitalmarketing #digitalagency #amsardigital @amsardigital,Amsar Digital,2025-12-03T16:47:28Z,https://www.youtube.com/watch?v=EnQ7fQFvtbA,0.5719,Positive
Master Digital Marketing  Your Ultimate Skillset Guide #makemoneyfromhomeonline,Real Ken Foo,2025-12-03T16:01:46Z,https://www.youtube.com/watch?v=xEFyYZOGkDc,0.0,Neutral
